papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y,setor,valor_de_mercado,empresa,dt_ultima_cot
SULT3,0.56,0.14,0.02,0.042,0.0,0.004,-0.02,-0.83,-0.01,-1.0,-1.03,-0.050499999999999996,0.2949,-0.0043,0.1054,0.24,0.0,469687000.0,0.01,0.14150000000000001,,7056000,CONSTRUTORA SULTEPA S/A ON,2017-03-01
SULT4,0.43,0.11,0.01,0.032,0.0,0.003,-0.01,-0.64,0.0,-0.8,-0.83,-0.050499999999999996,0.2949,-0.0043,0.1054,0.24,0.0,469687000.0,0.01,0.14150000000000001,,5418000,CONSTRUTORA SULTEPA S/A PN,2017-03-01
SUZA4,13.9,108.13,0.21,0.06,0.0,0.016,0.1,0.22,-0.03,6.47,3.74,0.266,0.0052,0.08470000000000001,0.0019,2.49,0.0,11709200000.0,7.57,0.1445,Holdings Diversificadas,2403690000,SUZANO HOLDING S.A. PN N1,2004-08-04
SUZB3,56.46,318.36,1.76,1.772,0.0216,0.466,3.05,6.66,-0.97,12.92,7.46,0.266,0.006,0.08470000000000001,0.0055000000000000005,2.48,458928000.0,40494900000.0,2.19,0.10980000000000001,Madeira e Papel,71372100000,Suzano Papel ON,2024-08-21
SUZB5,21.13,119.15,0.66,0.663,0.0,0.174,1.14,2.49,-0.36,8.75,5.05,0.266,0.006,0.08470000000000001,0.0055000000000000005,2.48,0.0,40494900000.0,2.19,0.10980000000000001,Madeira e Papel,26710800000,Suzano Papel PNA,1899-12-30
SUZB6,17.88,100.82,0.56,0.561,0.0,0.148,0.97,2.11,-0.31,8.36,4.83,0.266,0.006,0.08470000000000001,0.0055000000000000005,2.48,0.0,40494900000.0,2.19,0.10980000000000001,Madeira e Papel,22602400000,Suzano Papel PNB,2015-12-02
SYNE3,7.81,2.52,0.59,0.842,0.3691,0.263,0.78,2.22,4.92,1.53,1.31,0.38020000000000004,0.42310000000000003,0.1714,0.2357,5.74,5622140.0,2005940000.0,0.5,0.2291,Exploração de Imóveis,1192150000,SYN PROP TEC ON NM,2024-08-21
SZPQ4,6.64,-7.85,2.2,0.855,0.0,0.744,2.62,-20.31,-3.17,-22.77,-22.77,-0.0421,-0.10890000000000001,-0.0377,-0.28,2.97,0.0,684467000.0,0.3,-0.11710000000000001,Químicos,1505250000,SUZANO PETROQUIMICA S.A. PN,2011-01-12
TAEE11,35.72,9.45,1.82,3.387,0.0968,0.621,7.82,6.02,-1.26,10.45,10.36,0.5625,0.35850000000000004,0.1099,0.1924,1.92,50184400.0,6768230000.0,1.5,0.0258,Energia Elétrica,12305500000,TAESA UNT,2024-08-21
TAEE3,11.83,9.39,1.81,3.365,0.0974,0.617,7.77,5.98,-1.25,10.41,10.32,0.5625,0.35850000000000004,0.1099,0.1924,1.92,1158170.0,6768230000.0,1.5,0.0258,Energia Elétrica,12226300000,TAESA ON N2,2024-08-21
